FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
David,Sopilka,sopilk001dav,Right,,2016,22,-0.5,Salem,CARL,A+,BOS,42,158,139,17,38,7,1,1,14,1,0,12,30,.273,.331,.360,.691,50,5,1,4,2,0,7.595,18.987,40.000,0.633,0.087
David,Sopilka,sopilk001dav,Right,,2017,23,,,,A-A+,ARI,9,31,28,2,6,2,0,0,5,0,0,2,6,.214,.267,.286,.552,8,0,0,1,0,0,6.452,19.355,33.333,0.000,0.072
David,Sopilka,sopilk001dav,Right,,2017,23,0.3,Visalia,CALL,A+,ARI,4,13,10,1,1,1,0,0,4,0,0,2,3,.100,.250,.200,.450,2,0,0,1,0,0,15.385,23.077,66.667,0.000,0.100
David,Sopilka,sopilk001dav,Right,,2017,23,1.7,Kane County,MIDW,A,ARI,5,18,18,1,5,1,0,0,1,0,0,0,3,.278,.278,.333,.611,6,0,0,0,0,0,0.000,16.667,0.000,0.000,0.055
David,Sopilka,sopilk001dav,Right,,2018,24,,,,A+-AA,ARI,12,31,22,3,7,2,0,0,6,0,0,8,6,.318,.484,.409,.893,9,1,0,0,1,0,25.806,19.355,133.333,0.000,0.091
David,Sopilka,sopilk001dav,Right,,2018,24,0.1,Jackson,SOUL,AA,ARI,7,16,9,1,3,1,0,0,4,0,0,6,1,.333,.563,.444,1.007,4,0,0,0,1,0,37.500,6.250,600.000,0.000,0.111
David,Sopilka,sopilk001dav,Right,,2018,24,1.7,Visalia,CALL,A+,ARI,5,15,13,2,4,1,0,0,2,0,0,2,5,.308,.400,.385,.785,5,1,0,0,0,0,13.333,33.333,40.000,0.000,0.077
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2015,17,-1.3,Red Sox 2,DOSL,FRk,BOS,67,312,265,61,85,8,7,1,31,27,7,23,33,.321,.420,.415,.835,110,5,23,0,1,2,7.372,10.577,69.697,0.321,0.094
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2016,18,-1.6,Red Sox,GULF,Rk,BOS,53,238,214,33,62,14,1,2,21,9,4,11,28,.290,.350,.393,.743,84,1,10,1,2,0,4.622,11.765,39.286,0.840,0.103
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2017,19,-2.5,Greenville,SALL,A,BOS,92,379,354,47,101,18,3,4,34,19,7,11,48,.285,.322,.387,.709,137,1,9,3,2,1,2.902,12.665,22.917,1.055,0.102
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2018,20,,,,A,BOS-CIN,95,417,380,53,111,21,5,1,33,23,15,14,57,.292,.332,.382,.713,145,7,11,7,5,0,3.357,13.669,24.561,0.240,0.090
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2018,20,-1.3,Greenville,SALL,A,BOS,50,229,211,40,67,17,3,0,22,10,8,5,29,.318,.350,.427,.776,90,2,7,3,3,0,2.183,12.664,17.241,0.000,0.109
Lorenzo,Cedrola,cedrol000lor,Right,Cincinnati Reds,2018,20,-1.3,Dayton,MIDW,A,CIN,45,188,169,13,44,4,2,1,11,13,7,9,28,.260,.310,.325,.635,55,5,4,4,2,0,4.787,14.894,32.143,0.532,0.065
Luis,Lopez,lopez-012lui,Right,Cincinnati Reds,2018,18,-1.4,Reds,ARIZ,Rk,CIN,29,97,84,14,19,2,0,1,7,4,0,8,24,.226,.305,.286,.591,24,2,2,2,1,0,8.247,24.742,33.333,1.031,0.060
Alejo,Lopez,lopez-008ale,Both,Cincinnati Reds,2015,19,-0.9,Reds,ARIZ,Rk,CIN,12,38,31,3,13,2,0,0,5,2,2,5,0,.419,.526,.484,1.010,15,0,2,0,0,0,13.158,0.000,5.000,0.000,0.065
Alejo,Lopez,lopez-008ale,Both,Cincinnati Reds,2016,20,-0.6,Billings,PION,Rk,CIN,57,229,205,36,56,6,1,1,29,11,3,21,19,.273,.342,.327,.669,67,6,1,1,1,0,9.170,8.297,110.526,0.437,0.054
Alejo,Lopez,lopez-008ale,Both,Cincinnati Reds,2017,21,0.2,Billings,PION,Rk,CIN,67,269,220,49,66,10,6,4,33,11,4,30,28,.300,.388,.455,.842,100,5,6,6,7,0,11.152,10.409,107.143,1.487,0.155
Alejo,Lopez,lopez-008ale,Both,Cincinnati Reds,2018,22,0.7,Dayton,MIDW,A,CIN,65,260,234,29,75,16,2,0,17,7,6,18,31,.321,.375,.406,.781,95,2,4,1,3,1,6.923,11.923,58.065,0.000,0.085
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2013,17,-2.6,Red Sox,GULF,Rk,BOS,16,50,45,4,8,5,0,1,4,1,0,3,12,.178,.245,.356,.600,16,3,1,1,0,0,6.000,24.000,25.000,2.000,0.178
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2014,18,-3.0,Lowell,NYPL,A-,BOS,30,121,109,19,36,10,1,0,10,0,3,11,22,.330,.388,.440,.829,48,2,0,0,1,0,9.091,18.182,50.000,0.000,0.110
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2015,19,-2.6,Greenville,SALL,A,BOS,115,488,442,52,124,27,3,7,62,2,0,34,88,.281,.338,.403,.741,178,13,6,3,3,0,6.967,18.033,38.636,1.434,0.122
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2016,20,-2.5,Salem,CARL,A+,BOS,124,535,471,56,133,40,3,2,77,2,3,50,106,.282,.349,.393,.742,185,11,3,2,9,2,9.346,19.813,47.170,0.374,0.111
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2017,21,,,,AA,BOS,69,274,256,28,68,16,0,7,40,0,1,16,45,.266,.314,.410,.724,105,11,2,0,0,0,5.839,16.423,35.556,2.555,0.144
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2017,21,-3.2,Portland,EL,AA,BOS,62,252,237,26,62,15,0,6,33,0,1,13,40,.262,.306,.401,.706,95,10,2,0,0,0,5.159,15.873,32.500,2.381,0.139
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2017,21,-3.1,Pensacola,SOUL,AA,CIN,7,22,19,2,6,1,0,1,7,0,0,3,5,.316,.409,.526,.935,10,1,0,0,0,0,13.636,22.727,60.000,4.545,0.210
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2018,22,,,,AA-AAA,CIN,90,291,266,28,65,14,0,2,36,1,0,15,65,.244,.299,.320,.619,85,6,7,0,3,0,5.155,22.337,23.077,0.687,0.076
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2018,22,-4.5,Louisville,IL,AAA,CIN,32,93,90,8,21,5,0,0,8,1,0,2,27,.233,.258,.289,.547,26,2,1,0,0,0,2.151,29.032,7.407,0.000,0.056
Nick,Longhi,longhi000nic,Right,Cincinnati Reds,2018,22,-1.9,Pensacola,SOUL,AA,CIN,58,198,176,20,44,9,0,2,28,0,0,13,38,.250,.318,.335,.653,59,4,6,0,3,0,6.566,19.192,34.211,1.010,0.085
Shed,Long,long--000she,Left,Cincinnati Reds,2013,17,-2.7,Reds,ARIZ,Rk,CIN,24,88,78,9,20,2,0,1,8,1,1,8,17,.256,.333,.321,.654,25,2,1,1,0,0,9.091,19.318,47.059,1.136,0.065
Shed,Long,long--000she,Left,Cincinnati Reds,2014,18,-2.6,Billings,PION,Rk,CIN,29,93,87,6,15,3,0,0,6,2,1,5,18,.172,.217,.207,.424,18,0,0,1,0,0,5.376,19.355,27.778,0.000,0.035
Shed,Long,long--000she,Left,Cincinnati Reds,2015,19,-2.4,Dayton,MIDW,A,CIN,42,173,152,22,43,7,2,6,16,2,3,18,31,.283,.363,.474,.836,72,1,1,2,0,0,10.405,17.919,58.065,3.468,0.191
Shed,Long,long--000she,Left,Cincinnati Reds,2016,20,,,,A-A+,CIN,132,548,478,69,140,30,5,15,75,21,4,54,120,.293,.371,.471,.842,225,4,8,4,4,0,9.854,21.898,45.000,2.737,0.178
Shed,Long,long--000she,Left,Cincinnati Reds,2016,20,-2.8,Daytona,FLOR,A+,CIN,38,159,143,22,46,6,4,4,30,5,1,10,35,.322,.371,.503,.875,72,0,3,0,3,0,6.289,22.013,28.571,2.516,0.181
Shed,Long,long--000she,Left,Cincinnati Reds,2016,20,-1.6,Dayton,MIDW,A,CIN,94,389,335,47,94,24,1,11,45,16,3,44,85,.281,.371,.457,.828,153,4,5,4,1,0,11.311,21.851,51.765,2.828,0.176
Shed,Long,long--000she,Left,Cincinnati Reds,2017,21,,,,A+-AA,CIN,104,439,388,50,109,22,3,16,50,9,4,46,94,.281,.358,.477,.834,185,6,2,0,3,2,10.478,21.412,48.936,3.645,0.196
Shed,Long,long--000she,Left,Cincinnati Reds,2017,21,-3.1,Pensacola,SOUL,AA,CIN,42,160,141,13,32,6,2,3,14,3,1,19,31,.227,.319,.362,.680,51,1,0,0,0,0,11.875,19.375,61.290,1.875,0.135
Shed,Long,long--000she,Left,Cincinnati Reds,2017,21,-1.8,Daytona,FLOR,A+,CIN,62,279,247,37,77,16,1,13,36,6,3,27,63,.312,.380,.543,.922,134,5,2,0,3,2,9.677,22.581,42.857,4.659,0.231
Shed,Long,long--000she,Left,Cincinnati Reds,2018,22,-1.9,Pensacola,SOUL,AA,CIN,126,522,452,75,118,22,5,12,56,19,6,57,123,.261,.353,.412,.765,186,8,8,4,1,1,10.920,23.563,46.341,2.299,0.151
Shed,Long,long--000she,Left,Cincinnati Reds,2018,22,-0.4,Scottsdale,AZFL,Fal,,19,66,58,6,14,2,1,0,8,3,1,8,15,.241,.333,.310,.644,18,2,0,0,0,0,12.121,22.727,53.333,0.000,0.069
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2014,18,-1.6,Reds,ARIZ,Rk,CIN,24,82,79,4,17,4,0,0,5,0,0,1,21,.215,.244,.266,.510,21,0,2,0,0,0,1.220,25.610,4.762,0.000,0.051
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2015,19,-0.9,Reds,ARIZ,Rk,CIN,6,15,12,1,3,0,0,0,0,1,0,2,3,.250,.400,.250,.650,3,0,1,0,0,0,13.333,20.000,66.667,0.000,0.000
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2016,20,,,,Rk,CIN,32,112,100,11,22,6,0,2,11,0,1,6,33,.220,.291,.340,.631,34,2,4,2,0,0,5.357,29.464,18.182,1.786,0.120
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2016,20,-0.6,Billings,PION,Rk,CIN,22,74,66,5,13,4,0,1,8,0,1,4,26,.197,.264,.303,.567,20,1,2,2,0,0,5.405,35.135,15.385,1.351,0.106
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2016,20,0.2,Reds,ARIZ,Rk,CIN,10,38,34,6,9,2,0,1,3,0,0,2,7,.265,.342,.412,.754,14,1,2,0,0,0,5.263,18.421,28.571,2.632,0.147
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2017,21,,,,Rk-A,CIN,28,106,94,14,20,3,0,1,12,1,0,8,27,.213,.279,.277,.555,26,0,1,2,1,0,7.547,25.472,29.630,0.943,0.064
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2017,21,-0.3,Dayton,MIDW,A,CIN,3,11,10,1,3,0,0,0,0,0,0,1,2,.300,.364,.300,.664,3,0,0,0,0,0,9.091,18.182,50.000,0.000,0.000
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2017,21,0.2,Billings,PION,Rk,CIN,25,95,84,13,17,3,0,1,12,1,0,7,25,.202,.269,.274,.543,23,0,1,2,1,0,7.368,26.316,28.000,1.053,0.072
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2018,22,,,,A+-A-AAA,CIN,43,143,135,11,30,5,1,2,11,0,0,5,42,.222,.266,.319,.584,43,2,3,0,0,0,3.497,29.371,11.905,1.399,0.097
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2018,22,-4.5,Louisville,IL,AAA,CIN,3,10,10,0,3,0,0,0,1,0,0,0,1,.300,.300,.300,.600,3,0,0,0,0,0,0.000,10.000,0.000,0.000,0.000
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2018,22,-0.4,Daytona,FLOR,A+,CIN,29,101,97,8,20,2,1,2,8,0,0,2,29,.206,.238,.309,.547,30,2,2,0,0,0,1.980,28.713,6.897,1.980,0.103
Morgan,Lofstrom,lofstr000mor,Left,Cincinnati Reds,2018,22,0.7,Dayton,MIDW,A,CIN,11,32,28,3,7,3,0,0,2,0,0,3,12,.250,.344,.357,.701,10,0,1,0,0,0,9.375,37.500,25.000,0.000,0.107
Reniel,Ozuna,ozuna-000ren,Right,Cincinnati Reds,2016,17,-1.2,Reds,DOSL,FRk,CIN,51,199,179,27,48,13,1,4,24,6,3,11,39,.268,.332,.419,.751,75,1,7,0,2,0,5.528,19.598,28.205,2.010,0.151
Reniel,Ozuna,ozuna-000ren,Right,Cincinnati Reds,2017,18,-1.8,Reds,ARIZ,Rk,CIN,35,131,118,14,34,7,3,0,14,8,2,11,30,.288,.351,.398,.749,47,4,1,0,1,0,8.397,22.901,36.667,0.000,0.110
Reniel,Ozuna,ozuna-000ren,Right,Cincinnati Reds,2018,19,,,,Rk,CIN,67,276,237,30,58,7,1,2,30,3,5,35,69,.245,.338,.308,.646,73,4,0,1,3,1,12.681,25.000,50.725,0.725,0.063
Reniel,Ozuna,ozuna-000ren,Right,Cincinnati Reds,2018,19,-1.3,Greeneville,APPY,Rk,CIN,60,251,218,27,55,7,1,2,27,2,5,31,63,.252,.343,.321,.664,70,4,0,0,2,1,12.351,25.100,49.206,0.797,0.069
Reniel,Ozuna,ozuna-000ren,Right,Cincinnati Reds,2018,19,-1.5,Billings,PION,Rk,CIN,7,25,19,3,3,0,0,0,3,1,0,4,6,.158,.292,.158,.450,3,0,0,1,1,0,16.000,24.000,66.667,0.000,0.000
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2013,17,,,,FRk-Rk,ARI,50,221,198,42,61,11,3,2,24,13,8,12,43,.308,.371,.424,.795,84,0,9,0,2,0,5.430,19.457,27.907,0.905,0.116
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2013,17,-2.7,Diamondbacks,ARIZ,Rk,ARI,10,40,37,6,13,2,1,0,9,1,0,1,7,.351,.375,.459,.834,17,0,1,0,1,0,2.500,17.500,14.286,0.000,0.108
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2013,17,-1.4,Diamondbacks,DOSL,FRk,ARI,40,181,161,36,48,9,2,2,15,12,8,11,36,.298,.370,.416,.786,67,0,8,0,1,0,6.077,19.890,30.556,1.105,0.118
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2014,18,-2.6,Missoula,PION,Rk,ARI,73,329,303,54,80,14,2,7,28,4,3,19,55,.264,.306,.393,.699,119,3,1,2,4,0,5.775,16.717,34.545,2.128,0.129
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2015,19,,,,A--A,ARI,87,357,334,37,73,18,7,4,32,20,4,16,75,.219,.251,.350,.602,117,6,0,3,4,0,4.482,21.008,21.333,1.120,0.131
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2015,19,-2.4,Kane County,MIDW,A,ARI,35,139,133,14,25,6,3,1,12,4,2,4,34,.188,.212,.301,.512,40,4,0,2,0,0,2.878,24.460,11.765,0.719,0.113
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2015,19,-2.0,Hillsboro,NORW,A-,ARI,52,218,201,23,48,12,4,3,20,16,2,12,41,.239,.276,.383,.660,77,2,0,1,4,0,5.505,18.807,29.268,1.376,0.144
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2016,20,-1.6,Kane County,MIDW,A,ARI,86,339,316,35,83,17,5,7,28,17,7,15,71,.263,.302,.415,.717,131,5,3,5,0,1,4.425,20.944,21.127,2.065,0.152
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2017,21,,,,A+-A,ARI,100,381,348,49,80,16,3,8,45,9,4,24,108,.230,.286,.362,.648,126,10,4,3,2,0,6.299,28.346,22.222,2.100,0.132
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2017,21,-1.7,Visalia,CALL,A+,ARI,70,277,258,36,56,12,2,6,29,6,1,16,76,.217,.267,.349,.616,90,7,2,0,1,0,5.776,27.437,21.053,2.166,0.132
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2017,21,-0.3,Kane County,MIDW,A,ARI,30,104,90,13,24,4,1,2,16,3,3,8,32,.267,.337,.400,.737,36,3,2,3,1,0,7.692,30.769,25.000,1.923,0.133
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2017-18,21,-5.4,Licey,DOWL,FgW,,3,4,3,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000
Fernery,Ozuna,ozuna-000fer,Right,Texas Rangers,2018,22,4.3,Rangers 1,DOSL,FRk,TEX,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2015,20,-0.9,Billings,PION,Rk,CIN,62,261,229,30,63,16,2,0,34,14,6,25,58,.275,.353,.362,.715,83,6,3,3,1,0,9.579,22.222,43.103,0.000,0.087
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2016,21,-0.6,Dayton,MIDW,A,CIN,114,458,412,34,102,16,3,1,36,23,9,33,103,.248,.311,.308,.620,127,6,6,5,2,0,7.205,22.489,32.039,0.218,0.060
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2017,22,,,,A-A+,CIN,125,497,444,38,103,19,1,3,53,29,7,30,123,.232,.293,.300,.592,133,14,12,2,9,2,6.036,24.748,24.390,0.604,0.068
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2017,22,-0.8,Daytona,FLOR,A+,CIN,62,241,215,13,48,6,0,1,21,14,2,9,51,.223,.276,.265,.541,57,7,9,2,6,0,3.734,21.162,17.647,0.415,0.042
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2017,22,0.7,Dayton,MIDW,A,CIN,63,256,229,25,55,13,1,2,32,15,5,21,72,.240,.309,.332,.640,76,7,3,0,3,2,8.203,28.125,29.167,0.781,0.092
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2017,22,-0.5,Scottsdale,AZFL,Fal,,16,67,65,6,14,3,0,0,6,3,1,2,25,.215,.239,.262,.500,17,0,0,0,0,0,2.985,37.313,8.000,0.000,0.047
Brantley,Bell,bell--000bra,Right,Cincinnati Reds,2018,23,0.6,Daytona,FLOR,A+,CIN,117,448,407,50,102,21,3,7,54,21,5,31,75,.251,.309,.369,.678,150,8,5,2,3,1,6.920,16.741,41.333,1.562,0.118
Zach,Jones,jones-009zac,Left,,2018,23,,,,Ind,,43,102,90,5,19,3,0,1,11,2,0,10,29,.211,.297,.278,.575,25,,1,1,0,0,9.804,28.431,34.483,0.980,0.067
Zach,Jones,jones-009zac,Left,,2018,23,-1.0,California City,PECO,Ind,,15,34,29,3,6,1,0,1,6,1,0,4,12,.207,.303,.345,.648,10,,0,1,0,0,11.765,35.294,33.333,2.941,0.138
Zach,Jones,jones-009zac,Left,,2018,23,-1.0,Monterey,PECO,Ind,,28,68,61,2,13,2,0,0,5,1,0,6,17,.213,.294,.246,.540,15,,1,0,0,0,8.824,25.000,35.294,0.000,0.033
Marcus,Littlewood,little008mar,Both,,2011,19,,,,A--A,SEA,89,385,328,52,63,13,2,9,36,3,4,55,104,.192,.309,.326,.635,107,5,1,0,1,2,14.286,27.013,52.885,2.338,0.134
Marcus,Littlewood,little008mar,Both,,2011,19,-2.6,Clinton,MIDW,A,SEA,27,106,95,7,15,0,1,1,6,0,1,10,23,.158,.236,.211,.446,20,2,0,0,1,1,9.434,21.698,43.478,0.943,0.053
Marcus,Littlewood,little008mar,Both,,2011,19,-2.3,Everett,NORW,A-,SEA,62,279,233,45,48,13,1,8,30,3,3,45,81,.206,.337,.373,.710,87,3,1,0,0,1,16.129,29.032,55.556,2.867,0.167
Marcus,Littlewood,little008mar,Both,,2012,20,-1.1,Everett,NORW,A-,SEA,62,259,214,36,56,10,0,9,37,2,2,44,72,.262,.390,.435,.825,93,2,1,0,0,1,16.988,27.799,61.111,3.475,0.173
Marcus,Littlewood,little008mar,Both,,2013,21,-0.4,Clinton,MIDW,A,SEA,60,256,213,32,49,18,1,3,18,1,0,40,58,.230,.350,.366,.717,78,6,0,2,1,0,15.625,22.656,68.966,1.172,0.136
Marcus,Littlewood,little008mar,Both,,2014,22,,,,A-A+,SEA,86,373,325,46,80,17,2,9,48,5,1,43,66,.246,.335,.394,.729,128,10,2,0,3,1,11.528,17.694,65.152,2.413,0.148
Marcus,Littlewood,little008mar,Both,,2014,22,-0.8,High Desert,CALL,A+,SEA,9,36,33,4,7,3,0,1,5,1,0,3,8,.212,.278,.394,.672,13,2,0,0,0,0,8.333,22.222,37.500,2.778,0.182
Marcus,Littlewood,little008mar,Both,,2014,22,0.5,Clinton,MIDW,A,SEA,77,337,292,42,73,14,2,8,43,4,1,40,58,.250,.341,.394,.735,115,8,2,0,3,1,11.869,17.211,68.966,2.374,0.144
Marcus,Littlewood,little008mar,Both,,2015,23,,,,AA-A+,SEA,74,288,249,27,54,12,0,9,29,3,2,34,59,.217,.307,.373,.680,93,6,0,1,4,1,11.806,20.486,57.627,3.125,0.156
Marcus,Littlewood,little008mar,Both,,2015,23,-1.1,Jackson,SOUL,AA,SEA,58,221,195,21,45,10,0,7,25,1,2,22,41,.231,.305,.390,.694,76,6,0,1,3,0,9.955,18.552,53.659,3.167,0.159
Marcus,Littlewood,little008mar,Both,,2015,23,0.4,Bakersfield,CALL,A+,SEA,16,67,54,6,9,2,0,2,4,2,0,12,18,.167,.313,.315,.628,17,0,0,0,1,1,17.910,26.866,66.667,2.985,0.148
Marcus,Littlewood,little008mar,Both,,2016,24,,,,AA-AAA,SEA,64,251,214,29,60,21,0,0,24,2,0,35,48,.280,.380,.379,.759,81,3,0,1,1,0,13.944,19.124,72.917,0.000,0.099
Marcus,Littlewood,little008mar,Both,,2016,24,-2.5,Tacoma,PCL,AAA,SEA,8,26,22,1,1,0,0,0,1,0,0,3,7,.045,.160,.045,.205,1,0,0,1,0,0,11.538,26.923,42.857,0.000,0.000
Marcus,Littlewood,little008mar,Both,,2016,24,0.0,Jackson,SOUL,AA,SEA,56,225,192,28,59,21,0,0,23,2,0,32,41,.307,.404,.417,.821,80,3,0,0,1,0,14.222,18.222,78.049,0.000,0.110
Marcus,Littlewood,little008mar,Both,,2017,25,1.0,Arkansas,TL,AA,SEA,73,300,281,30,68,11,0,9,35,1,0,14,67,.242,.274,.377,.651,106,4,0,1,4,0,4.667,22.333,20.896,3.000,0.135
Marcus,Littlewood,little008mar,Both,,2018,26,,,,AA-AAA,ARI,76,265,227,25,45,6,1,6,29,1,1,34,61,.198,.303,.313,.616,71,4,1,1,2,0,12.830,23.019,55.738,2.264,0.115
Marcus,Littlewood,little008mar,Both,,2018,26,-0.4,Reno,PCL,AAA,ARI,22,80,69,9,14,4,1,2,16,0,0,9,25,.203,.300,.377,.677,26,2,1,0,1,0,11.250,31.250,36.000,2.500,0.174
Marcus,Littlewood,little008mar,Both,,2018,26,2.1,Jackson,SOUL,AA,ARI,54,185,158,16,31,2,0,4,13,1,1,25,36,.196,.304,.285,.589,45,2,0,1,1,0,13.514,19.459,69.444,2.162,0.089
Jonathan,India,india-000joh,Right,Cincinnati Reds,2018,21,,,,A-Rk,CIN,44,184,150,29,36,9,1,6,23,6,1,28,44,.240,.380,.433,.814,65,6,6,0,0,0,15.217,23.913,63.636,3.261,0.193
Jonathan,India,india-000joh,Right,Cincinnati Reds,2018,21,-0.3,Dayton,MIDW,A,CIN,27,112,96,17,22,7,0,3,11,5,0,13,28,.229,.339,.396,.735,38,2,3,0,0,0,11.607,25.000,46.429,2.679,0.167
Jonathan,India,india-000joh,Right,Cincinnati Reds,2018,21,0.7,Greeneville,APPY,Rk,CIN,14,62,46,11,12,2,1,3,12,1,0,15,12,.261,.452,.543,.995,25,4,1,0,0,0,24.194,19.355,125.000,4.839,0.282
Jonathan,India,india-000joh,Right,Cincinnati Reds,2018,21,0.5,Billings,PION,Rk,CIN,3,10,8,1,2,0,0,0,0,0,1,0,4,.250,.400,.250,.650,2,0,2,0,0,0,0.000,40.000,0.000,0.000,0.000
Mariel,Bautista,bautis000mar,Right,Cincinnati Reds,2015,17,-1.3,Rojos,DOSL,FRk,CIN,51,199,170,33,44,10,3,2,25,6,2,20,43,.259,.350,.388,.738,66,1,5,2,2,1,10.050,21.608,46.512,1.005,0.129
Mariel,Bautista,bautis000mar,Right,Cincinnati Reds,2016,18,-0.2,Rojos,DOSL,FRk,CIN,62,272,237,40,79,16,4,3,35,13,4,22,36,.333,.408,.473,.881,112,3,10,0,3,2,8.088,13.235,61.111,1.103,0.140
Mariel,Bautista,bautis000mar,Right,Cincinnati Reds,2017,19,-0.8,Reds,ARIZ,Rk,CIN,36,157,147,29,47,9,1,0,20,16,1,5,24,.320,.353,.395,.747,58,1,3,1,1,0,3.185,15.287,20.833,0.000,0.075
Mariel,Bautista,bautis000mar,Right,Cincinnati Reds,2018,20,-0.5,Billings,PION,Rk,CIN,56,233,209,43,69,12,4,8,37,16,3,16,29,.330,.386,.541,.927,113,4,5,0,3,0,6.867,12.446,55.172,3.433,0.211
Raul,Juarez,juarez002rau,Right,Cincinnati Reds,2015,17,-1.3,Reds,DOSL,FRk,CIN,49,190,166,18,34,8,2,2,18,5,4,9,37,.205,.289,.313,.602,52,1,11,3,1,0,4.737,19.474,24.324,1.053,0.108
Raul,Juarez,juarez002rau,Right,Cincinnati Reds,2016,18,-0.2,Reds,DOSL,FRk,CIN,57,216,180,25,55,7,1,6,31,3,4,19,34,.306,.399,.456,.855,82,1,11,3,3,0,8.796,15.741,55.882,2.778,0.150
Raul,Juarez,juarez002rau,Right,Cincinnati Reds,2017,19,-0.8,Reds,ARIZ,Rk,CIN,35,127,115,12,32,3,0,0,14,2,2,6,22,.278,.331,.304,.635,35,0,4,0,2,0,4.724,17.323,27.273,0.000,0.026
Raul,Juarez,juarez002rau,Right,Cincinnati Reds,2018,20,-0.3,Greeneville,APPY,Rk,CIN,32,112,101,12,21,4,0,2,13,0,0,5,26,.208,.264,.307,.571,31,3,3,2,1,0,4.464,23.214,19.231,1.786,0.099
Buddy,Kennedy,kenned000bud,Right,Arizona Diamondbacks,2017,18,-1.8,Diamondbacks,ARIZ,Rk,ARI,50,201,178,29,48,9,8,0,20,7,2,19,47,.270,.343,.410,.753,73,2,2,0,2,0,9.453,23.383,40.426,0.000,0.140
Buddy,Kennedy,kenned000bud,Right,Arizona Diamondbacks,2018,19,-1.5,Missoula,PION,Rk,ARI,57,255,226,46,74,17,1,4,32,2,0,26,34,.327,.396,.465,.861,105,5,1,0,2,0,10.196,13.333,76.471,1.569,0.138
Nick,Dalesandro,dalesa000nic,Right,Arizona Diamondbacks,2018,21,,,,Rk,ARI,47,180,158,26,48,9,1,0,22,4,1,20,23,.304,.380,.373,.753,59,6,0,1,1,0,11.111,12.778,86.957,0.000,0.069
Nick,Dalesandro,dalesa000nic,Right,Arizona Diamondbacks,2018,21,1.6,Diamondbacks,ARIZ,Rk,ARI,2,9,9,2,3,0,0,0,1,0,0,0,1,.333,.333,.333,.667,3,0,0,0,0,0,0.000,11.111,0.000,0.000,0.000
