Bats,Age,PA,BA,OBP,SLG,BB%,K%,BB/K,HR%,Lev,Aff,First,Last,ID
Left,26,442,.198,.265,.331,7.466,31.222,23.913,2.489,AA,MIA,Eric,Jagielo,jagiel001eri
Right,22,56,.163,.255,.204,7.143,23.214,30.769,0.000,Rk,ARI,Daniel,Wasinger,wasing000dan
Right,24,289,.267,.337,.391,8.304,23.529,35.294,1.730,A+,ARI,Adam,Walton,walton000ada
Right,22,146,.254,.276,.384,3.425,41.781,8.197,2.740,A-Rk,CIN,Raul,Wallace,wallac000rau
Right,26,145,.200,.324,.383,15.172,35.172,43.137,2.759,AA,WSN,Adam,Walker,walker002ada
Right,19,524,.257,.351,.402,9.924,19.656,50.485,2.481,A,CIN,Jeter,Downs,downs-000jet
Left,22,107,.172,.271,.204,7.477,14.953,50.000,0.000,Rk,ARI,Marshawn,Taylor,taylor008mar
Right,23,317,.199,.259,.315,5.994,24.921,24.051,2.208,AA-A+,CIN,Chris,Okey,okey--001chr
Left,20,70,.242,.329,.387,11.429,28.571,40.000,1.429,Rk,CIN,Jake,Turnbull,turnbu000jak
Both,18,168,.199,.321,.284,14.286,17.262,82.759,0.595,FRk,CIN,Jose,Acosta,acosta013jos
Left,22,570,.284,.381,.384,11.579,17.544,66.000,0.877,AA-A+,CIN,TJ,Friedl,friedl000tj-
Right,19,162,.241,.321,.421,9.877,35.185,28.070,2.469,Rk,CIN,Edwin,Yon,yon---000edw
Right,22,406,.235,.283,.384,5.665,29.803,19.008,2.709,A,ARI,Eudy,Ramos,ramos-002eud
Right,19,247,.329,.417,.538,12.551,21.053,59.615,2.024,Rk,ARI,Blaze,Alexander,alexan001bla
Right,18,192,.201,.255,.291,5.208,30.208,17.241,0.521,FRk,CIN,Sebastian,Almonte,almont001seb
Right,22,247,.345,.385,.594,5.263,16.194,32.500,5.263,Rk,ARI,Zach,Almond,almond000zac
Right,27,253,.254,.304,.332,6.719,19.368,34.694,1.186,AAA-AA,SFG,Ronnie,Freeman,freema000ron
Right,23,195,.206,.314,.321,8.718,22.564,38.636,1.538,A--A,ARI,Ryan,Tufts,tufts-001rya
Right,23,228,.274,.378,.347,12.281,19.737,62.222,0.439,A-A-,ARI,Ryan,Dobson,dobson000rya
Right,23,393,.306,.366,.427,5.344,13.740,38.889,1.018,A+-AA,ARI,Dominic,Miroglio,mirogl000dom
Left,29,511,.275,.363,.383,12.524,20.157,62.136,1.174,Ind,,Jared,Mitchell,mitche001jar
Right,22,518,.264,.344,.407,9.266,24.710,37.500,1.737,A-A+,CIN,Stuart,Fairchild,fairch000stu
Right,22,228,.354,.439,.677,12.281,18.860,65.116,6.140,Rk,ARI,Zack,Shannon,shanno000zac
,,,,,,,,,,,,Moises,Rivas,rivas-002moi
Left,21,318,.213,.246,.253,3.774,28.616,13.187,0.000,Rk-A+,CIN,Carlos,Rivero,rivero003car
Right,30,125,.246,.312,.386,8.800,19.200,45.833,2.400,AAA,,Carlos,Rivero,rivero001car
Left,23,228,.230,.289,.407,6.140,39.035,15.730,2.632,A--A-Rk,ARI,William,Gorman,gorman004wil
Right,21,219,.270,.359,.434,9.589,28.767,33.333,2.283,Rk,CIN,Zeek,White,white-000isa
Left,17,228,.181,.303,.275,12.719,21.930,58.000,0.000,FRk,ARI,Carlos,Goris,goris-001car
Left,20,233,.211,.290,.324,9.871,19.742,50.000,0.858,A,CIN,Miles,Gordon,gordon003mil
,,,,,,,,,,,,Victor,Gonzalez,gonzal008vic
,,,,,,,,,,,,Victor,Gonzalez,gonzal011vic
,,,,,,,,,,,,Luis,Gonzalez,gonzal027lui
Right,23,456,.256,.291,.333,4.167,17.105,24.359,0.877,AA-A+,CIN,Luis,Gonzalez,gonzal018lui
Left,22,543,.307,.368,.498,8.840,18.969,46.602,2.578,A+-A,CHW,Luis,Gonzalez,gonzal024lui
